function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K07714,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K07720,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K07721,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K07722,8237,16015,15514,10381,8910,14533,9135,4852,9124,4257,4373,6884,18589,12921,16789,10834,22538,8330
K07728,2826,5445,1590,1415,226,155,203,120,1052,105,182,554,911,1162,2257,539,2453,358
K07729,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K07730,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K07731,2826,5446,1591,1423,390,335,203,120,1063,106,182,554,911,1163,2257,539,2456,382
K07732,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K07738,395,770,2701,2716,2466,3840,1046,748,1593,411,462,754,2266,1910,2175,1360,2078,1425
K07739,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K07743,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K07744,156,283,33,1,75,55,5,2,26,0,2,5,3,6,7,3,20,10
K07814,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K07991,5329,10379,13707,8887,8576,14220,8801,4679,8008,4090,4127,6319,17466,11692,14438,10185,19813,7937
K08094,2826,5446,1591,1423,390,335,203,120,1063,106,182,554,911,1163,2257,539,2456,382
K08096,5418,10587,13928,8959,8522,14205,8940,4734,8073,4151,4192,6332,17681,11762,14538,10299,20098,7951
K08153,10032,19598,22444,12484,12108,20716,15772,7968,12936,7480,7458,11152,30824,19696,24714,17870,36008,13046
K08303,395,770,2701,2716,2466,3840,1046,748,1593,411,462,754,2266,1910,2175,1360,2078,1425
K08321,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K08482,7843,15258,15231,10300,8652,14265,8994,4795,9008,4195,4305,6863,18371,12842,16681,10718,22226,8275
K08602,5016,9799,11222,6242,6054,10358,7886,3984,6468,3740,3729,5576,15412,9848,12357,8935,18004,6523
K08681,8238,16019,15511,10374,8745,14356,9140,4852,9112,4256,4373,6885,18591,12921,16792,10835,22544,8308
K08851,7699,14993,12792,7665,6374,10649,8095,4106,7530,3846,3911,6128,16324,11012,14616,9478,20463,6899
K08963,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K08971,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K08975,7849,15263,12818,7666,6446,10700,8097,4106,7543,3846,3912,6132,16326,11015,14620,9478,20476,6908
K08979,5574,10871,13962,8968,8761,14440,8945,4736,8110,4152,4194,6337,17684,11769,14545,10302,20121,7985
K08999,268,528,313,93,52,82,179,77,106,80,75,34,295,105,150,155,380,47
K09003,150,271,27,9,236,231,2,0,24,1,1,4,2,4,4,0,16,33
K09005,5574,10870,13961,8960,8597,14260,8945,4736,8099,4151,4194,6337,17684,11768,14545,10302,20118,7961
K09006,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09011,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09013,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K09014,10447,20417,25162,15202,14581,24574,16837,8722,14566,7891,7923,11911,33097,21617,26904,19241,38125,14478
K09015,5418,10587,13928,8959,8522,14205,8940,4734,8073,4151,4192,6332,17681,11762,14538,10299,20098,7951
K09022,6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
K09116,2820,5432,1584,1415,240,181,200,118,1040,105,181,553,910,1159,2254,536,2446,360
K09118,9778,19109,22152,12400,12074,20669,15613,7899,12858,7403,7387,11129,30550,19608,24584,17733,35669,13016
K09119,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K09120,5574,10871,13962,8968,8761,14440,8945,4736,8110,4152,4194,6337,17684,11769,14545,10302,20121,7985
K09121,8238,16019,15511,10374,8745,14356,9140,4852,9112,4256,4373,6885,18591,12921,16792,10835,22544,8308
K09122,179,318,82,22,256,256,36,18,48,17,8,14,65,27,42,31,89,46
K09123,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K09126,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09128,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K09129,6,14,8,8,167,184,3,2,24,1,1,1,1,4,3,3,10,25
K09131,7843,15258,15231,10300,8652,14265,8994,4795,9008,4195,4305,6863,18371,12842,16681,10718,22226,8275
K09134,156,284,34,9,239,235,5,2,37,1,2,5,3,7,7,3,23,34
K09136,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09139,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09140,8238,16020,15512,10382,8909,14536,9140,4852,9123,4257,4373,6885,18591,12922,16792,10835,22547,8332
K09141,8221,16002,15482,10376,8909,14540,9116,4842,9129,4244,4370,6884,18545,12914,16768,10820,22497,8332
K09142,5574,10871,13962,8968,8761,14440,8945,4736,8110,4152,4194,6337,17684,11769,14545,10302,20121,7985
K09143,5441,10622,13977,8980,8703,14406,8971,4750,8095,4168,4198,6341,17743,11783,14573,10327,20167,7987
K09147,6,14,8,8,167,184,3,2,24,1,1,1,1,4,3,3,10,25
K09148,7842,15245,12813,7665,6444,10693,8089,4104,7531,3846,3911,6130,16323,11011,14614,9474,20460,6905
K09149,4801,9354,10999,6169,6024,10304,7773,3937,6392,3689,3665,5555,15229,9778,12275,8830,17763,6492
K09150,150,270,27,1,89,81,2,0,14,0,1,4,2,3,4,0,13,12
K09152,7836,15231,12805,7657,6277,10509,8086,4102,7507,3845,3910,6129,16322,11007,14611,9471,20450,6880
K09154,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09162,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K09163,6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
K09181,2676,5176,1565,1422,318,284,201,120,1050,106,181,550,909,1160,2253,539,2443,373
K09228,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K09386,6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
K09482,8267,16064,15556,10388,8915,14540,9170,4866,9143,4270,4378,6888,18639,12936,16822,10856,22611,8334
K09713,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09716,7849,15263,12818,7666,6446,10700,8097,4106,7543,3846,3912,6132,16326,11015,14620,9478,20476,6908
K09717,156,283,33,1,75,55,5,2,26,0,2,5,3,6,7,3,20,10
K09721,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K09722,8237,16014,15513,10373,8746,14353,9135,4852,9113,4256,4373,6884,18589,12920,16789,10834,22535,8306
K09723,13267,25850,26746,16625,14968,24905,17037,8840,15616,7997,8104,12464,34007,22777,29158,19777,40574,14859
K09725,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K09726,5424,10601,13936,8967,8689,14389,8943,4736,8097,4152,4193,6333,17682,11766,14541,10302,20108,7976
K09728,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K09729,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09730,2820,5433,1584,1423,387,331,200,118,1050,106,181,553,910,1160,2254,536,2449,381
K09731,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K09732,2676,5176,1565,1422,318,284,201,120,1050,106,181,550,909,1160,2253,539,2443,373
K09735,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K09736,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K09738,819,1579,3037,2811,2743,4136,1226,823,1732,489,537,786,2549,2013,2324,1508,2472,1495
K09739,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K09740,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K09741,8238,16019,15511,10374,8745,14356,9140,4852,9112,4256,4373,6885,18591,12921,16792,10835,22544,8308
K09746,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K09763,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K09771,46,68,96,26,34,42,62,32,22,32,12,18,124,40,70,56,132,24
K09807,238,476,260,79,33,54,140,59,83,64,68,23,230,81,109,123,298,32
K09808,5411,10569,13923,8958,8520,14198,8932,4732,8061,4151,4191,6330,17678,11758,14532,10295,20082,7948
K09810,5411,10569,13923,8958,8520,14198,8932,4732,8061,4151,4191,6330,17678,11758,14532,10295,20082,7948
K09815,5173,10096,13674,8886,8501,14165,8796,4677,7982,4090,4125,6314,17463,11686,14431,10182,19793,7927
K09816,5424,10600,13935,8959,8525,14209,8943,4736,8086,4151,4193,6333,17682,11765,14541,10302,20105,7952
K09817,5418,10587,13928,8959,8522,14205,8940,4734,8073,4151,4192,6332,17681,11762,14538,10299,20098,7951
K09866,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K09903,8237,16015,15514,10381,8910,14533,9135,4852,9124,4257,4373,6884,18589,12921,16789,10834,22538,8330
K09951,156,284,34,9,239,235,5,2,37,1,2,5,3,7,7,3,23,34
K10011,4755,9292,10925,6157,6018,10304,7719,3913,6378,3663,3657,5551,15135,9756,12221,8794,17649,6490
K10026,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K10112,6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
K10206,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K10389,0,3,11,7,14,21,4,4,4,3,2,7,15,9,8,10,9,11
K10563,395,770,2701,2716,2466,3840,1046,748,1593,411,462,754,2266,1910,2175,1360,2078,1425
K10674,4755,9292,10925,6157,6018,10304,7719,3913,6378,3663,3657,5551,15135,9756,12221,8794,17649,6490
K10716,3261,6264,4358,4143,2695,3991,1300,890,2646,542,651,1311,3270,3091,4483,1932,4638,1784
K10725,11093,21510,17147,11811,9305,14875,9373,4986,10206,4376,4560,7442,19550,14099,19079,11395,25067,8716
K10726,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K10747,8244,16034,15520,10390,9076,14720,9143,4854,9147,4258,4374,6886,18592,12926,16795,10838,22557,8357
K10773,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K10844,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K10848,5023,9818,11228,6251,6220,10545,7894,3986,6491,3741,3730,5578,15415,9853,12363,8939,18023,6550
K10896,8267,16064,15556,10388,8915,14540,9170,4866,9143,4270,4378,6888,18639,12936,16822,10856,22611,8334
K10907,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K10944,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K10945,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K10946,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K10956,7,19,6,9,166,187,8,2,23,1,1,2,3,5,6,4,19,27
K11099,4755,9292,10925,6157,6018,10304,7719,3913,6378,3663,3657,5551,15135,9756,12221,8794,17649,6490
K11105,5418,10587,13928,8959,8522,14205,8940,4734,8073,4151,4192,6332,17681,11762,14538,10299,20098,7951
K11130,819,1579,3037,2811,2743,4136,1226,823,1732,489,537,786,2549,2013,2324,1508,2472,1495
K11131,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K11175,8088,15749,15485,10373,8673,14305,9138,4852,9099,4256,4372,6881,18589,12918,16788,10835,22531,8299
K11212,5568,10857,13954,8960,8594,14256,8942,4734,8086,4151,4193,6336,17683,11765,14542,10299,20111,7960
K11529,6,14,8,8,167,184,3,2,24,1,1,1,1,4,3,3,10,25
K11600,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K11645,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K11646,8238,16020,15512,10382,8909,14536,9140,4852,9123,4257,4373,6885,18591,12922,16792,10835,22547,8332
K11717,13260,25832,26741,16624,14966,24898,17029,8838,15604,7997,8103,12462,34004,22773,29152,19773,40558,14856
K11754,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K11779,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K11780,5300,10332,13652,8874,8556,14195,8767,4661,7984,4074,4120,6309,17403,11669,14400,10154,19740,7924
