function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K17104,3489,6741,4594,4225,2894,4236,1424,941,2758,594,717,1335,3457,3169,4574,2044,4905,1843
K17105,2826,5446,1591,1423,390,335,203,120,1063,106,182,554,911,1163,2257,539,2456,382
K17218,4784,9339,10980,6170,6038,10329,7753,3931,6402,3679,3664,5561,15198,9779,12259,8825,17722,6503
K17247,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K17488,2826,5445,1590,1415,226,155,203,120,1052,105,182,554,911,1162,2257,539,2453,358
K17498,7,18,5,1,2,7,8,2,12,0,1,2,3,4,6,4,16,3
K17686,3221,6216,4292,4139,2856,4175,1249,868,2656,517,644,1308,3177,3073,4432,1899,4534,1807
K17716,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K17759,8512,16558,15821,10468,8950,14601,9318,4927,9238,4334,4447,6913,18872,13021,16937,10983,22925,8369
K17828,8237,16015,15514,10381,8910,14533,9135,4852,9124,4257,4373,6884,18589,12921,16789,10834,22538,8330
K17830,8238,16020,15512,10382,8909,14536,9140,4852,9123,4257,4373,6885,18591,12922,16792,10835,22547,8332
K17870,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K17884,3489,6741,4594,4225,2894,4236,1424,941,2758,594,717,1335,3457,3169,4574,2044,4905,1843
K18235,14556,28435,33125,18570,18109,30994,23363,11828,19247,11082,11050,16689,45747,29384,36840,26555,53384,19518
K18237,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K18285,268,525,302,86,38,61,175,73,102,77,73,27,280,96,142,145,371,36
K18429,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K18430,268,525,302,86,38,61,175,73,102,77,73,27,280,96,142,145,371,36
K18431,30,49,42,7,5,7,35,14,19,13,5,4,50,15,33,22,73,4
K18532,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K18588,261,504,286,78,22,33,163,67,86,74,70,18,262,83,128,131,346,22
K18593,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K18594,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K18601,4778,9326,10973,6170,6035,10325,7750,3929,6389,3679,3663,5560,15197,9776,12256,8822,17715,6502
K18602,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K18603,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K18604,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K18605,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K18779,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K18855,5029,9831,11235,6251,6223,10549,7897,3988,6504,3741,3731,5579,15416,9856,12366,8942,18030,6551
K18882,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K18931,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K18933,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K18978,6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
K19085,46,62,74,12,6,0,54,24,14,26,8,4,94,22,54,36,114,2
K19091,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K19221,12448,24272,23710,13822,12389,20949,15811,8017,13895,7509,7567,11678,31458,20765,26834,18269,38105,13388
K19244,156,284,34,9,239,235,5,2,37,1,2,5,3,7,7,3,23,34
K19302,5418,10587,13928,8959,8522,14205,8940,4734,8073,4151,4192,6332,17681,11762,14538,10299,20098,7951
K19465,261,507,297,85,36,54,167,71,90,77,72,25,277,92,136,141,355,33
K19548,23,34,48,13,17,21,31,16,11,16,6,9,62,20,35,28,66,12
K19664,2826,5446,1591,1423,390,335,203,120,1063,106,182,554,911,1163,2257,539,2456,382
K19710,6,14,8,8,167,184,3,2,24,1,1,1,1,4,3,3,10,25
K19712,8238,16019,15511,10374,8745,14356,9140,4852,9112,4256,4373,6885,18591,12921,16792,10835,22544,8308
K19721,268,525,302,86,38,61,175,73,102,77,73,27,280,96,142,145,371,36
