function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K00001,20005.5,17788.33,15881.83,6687.75,3166.75,2025.5,15622,13404.58,20477.83,13009.83,15324.33,3016.75,11319,8179.08,11252.5,7375.25,6275.25,1802.33,14706.83,10288.42,22506.17,18000.08,13358.25,1933.08
K00002,208.5,213.5,26,7,1,2,17.5,52,45,53,27,3,31.5,31,40,25.5,31.5,1,59.5,30,94,69.5,58.5,4
K00003,18251.2,16262.5,15131,16556.95,14966.75,8688.5,13409,11951.75,16583.5,12771,24568.5,14314.75,8771,6593.15,9156.7,8872.25,17734.45,2963.9,11700,12539.25,22230.5,14909.75,10631.75,12526.25
K00005,32,32,11,3,2,0,61,78,36,22,24,3,8,11,13,11,13,2,3,14,21,9,31,2
K00007,613,574,90,19,4,1,171,325,454,361,185,28,271,220,357,265,167,3,136,103,225,178,196,9
K00008,1849,1737,1117,1777,1297,721,1211,1431,1647,1748,1478,244,1112,883,1177,957,986,162,1578,916,2029,1471,1136,315
K00009,0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
K00010,3059.5,2897.5,3664,2521,936,380.5,2597.5,2249,2988,2405.5,2989.5,271.5,2088,1493.5,2024,1517.5,1299.5,66.5,3445.5,2282,5086.5,3773,2595.5,401
K00012,12864.9,11451.49,13208.49,17505.48,16855.25,10005.33,12163.83,10894.24,13350.33,12317.83,22687.83,14396.58,7155,5410.71,7503.07,8167.58,17587.48,3418.96,10695.99,11678.09,20461.84,13477.41,9360.92,12810.91
K00013,11293.7,10029.16,12334.16,16465.28,15841.25,9422.33,11204.83,10176.91,12521,11421.5,21771.5,14296.58,6670,5040.98,7004.87,7661.58,16922.28,3208.23,10047.66,10839.92,18664.17,12317.58,8230.42,12585.58
K00014,15672.7,13813.16,12592.16,15179.28,14863.25,8927.33,11441.83,10666.91,13198,11815.5,21493.5,14247.58,7209,5457.98,7581.87,8001.58,16943.28,3150.23,10631.66,11112.92,19562.17,13098.58,9493.42,12506.58
K00015,13230.7,11603,7382.5,2748.7,880,540,6353.5,5958,8513,6159.5,6404.5,411.5,5368,3949.4,5284.2,3504.5,2409.7,307.9,7908,4598.5,11140,8426,6271.5,557
K00016,254,261,49,31,5,2,66,72,65,79,60,0,82,44,133,116,46,9,81,62,179,121,135,12
K00018,276.2,271.33,208.33,244.45,608.25,585,270.5,249.58,180.33,245.33,464.33,1928.75,171.5,70.98,164.7,169.75,750.95,1198.23,206.83,152.92,356.67,343.08,179.75,638.58
K00019,7292.7,6493,5870.5,2404.7,703,404.5,5393.5,4747,7443,4724,5184,352,4400.5,3202.9,4424.2,2875.5,1908.7,283.4,5989,3763.5,8359.5,6711.5,4824.5,426
K00020,43166,38758.32,25596.32,16156.08,8886.25,4629.33,23966.83,22387.57,30734.16,23403.66,26273.16,8831.08,18550,13724.74,18584.17,13858.08,14778.58,2626.49,25671.32,17222.76,39521.51,28981.24,21758.92,8063.24
K00021,78,83,27,9,1,2,59,52,24,37,14,5,27,18,25,12,22,1,32,13,48,26,23,2
K00023,2020.7,1813.5,1192,1413.2,1155.5,895.5,1471,1622,1827,1982,1342.5,826.5,1417.5,1119.9,1494.7,1254.5,1371.7,374.4,2289,1086.75,2687.5,1930.75,1390.75,421
K00024,15832.7,13971.16,11428.16,10123.28,9803.25,6228.33,11758.83,10775.91,12922,11530.5,12469.5,6215.58,7371,5481.98,7375.87,6180.58,8149.28,3055.23,10985.66,7978.17,18164.67,13210.83,9704.67,5665.58
K00027,1167.5,1162.83,1944.33,2240.75,2108.25,1126.5,2159,1653.58,1570.83,1851.83,2201.33,1601.25,781,585.58,741.5,774.25,1381.75,1341.33,1348.83,908.67,2492.17,1703.83,966,834.58
K00029,16007.7,14123.66,10025.66,6688.78,5567.25,3426.83,10357.83,9806.91,12293,10416.5,10463.5,5486.58,7439,5518.48,7224.87,5553.58,6601.28,2283.23,11210.16,7110.42,16403.67,12206.58,9275.42,4484.58
K00030,241.5,209.83,374.83,353,70.5,29.5,581.5,552.33,493.83,628.33,321.83,96,252,200.33,227.5,297.5,471,7.33,383.83,225.17,612.17,696.83,329,120.33
K00031,15696.7,13810.99,13672.99,16798.78,15937.25,9499.33,12522.33,11535.24,13971.33,12830.33,22716.33,14450.08,7695.5,5852.31,8007.37,8399.58,17411.28,3246.56,11766.99,11795.59,21234.84,14305.91,10037.42,12744.91
K00033,3480.2,3056.83,1861.33,3646.7,3551,2392,2573.5,3007.83,2894.33,3360.33,3104.83,3512,1866,1413.23,2025.7,1978,3590.7,637.73,2676.83,1987.67,3942.67,2944.83,2278,3268.33
K00034,10,15.5,21,42.5,36,18.5,53.5,50,45,58,73,35,20.5,14.5,8,32.5,40.5,3.5,23.5,61,104.5,46.5,56.5,49.5
K00035,148,127,53,20,17,11,49,52,37,51,66,7,50,30,50,29,40,6,107,57,155,101,155,10
K00036,6740.1,5914.83,3104.83,4834.35,4554.75,2901,3481,4020.08,3915.33,4612.33,4486.83,4981.75,2800.5,2095.28,3067.1,2941.75,5043.85,1996.53,4081.83,2824.92,6225.17,4303.08,3311.75,3928.08
K00038,11,11,4,1,0,0,22,34,14,23,8,0,2,7,4,3,0,0,17,4,14,18,17,1
K00039,5,3,8,1,0,0,10,6,9,9,21,1,13,12,29,7,10,0,2,0,0,4,0,0
K00040,760,702,139,38,21,12,218,383,490,415,238,34,308,243,381,287,197,9,253,162,389,288,358,20
K00041,92,76,139.5,53,22,12,140.5,235,186.5,288,152,14,106,102,112,70.5,52.5,2,210,54,132.5,113.5,106,14
K00042,8566.7,7686.16,5901.66,1613.2,83,53.5,5505.5,4920.66,7697.16,4609.16,5299.16,339,4370,3122.06,4360.2,2795,1845.7,45.06,5368.66,3852.34,8481.34,6877.66,5353,370.16
K00043,220,209,75,12,2,1,72,106,102,126,75,5,76,67,74,43,49,0,70,41,143,69,74,5
K00045,1258,1067.16,537.16,82.83,13,16.83,639.33,757.66,921.5,1004,406,16.83,803,631.33,701.67,488.83,235.33,10.83,1620.66,508.17,1232.67,1138.33,869.17,34.83
K00046,7675.5,6977.33,3444.83,2235.33,1176,518.33,3916.83,4296.33,4593.67,4923.67,3573.67,337.33,3157.5,2426,3256.17,2493.83,1958.83,154.5,5018.83,2285.5,6391.5,4456,3549.67,446
K00050,3128.9,2795.5,1991.5,3859.15,3689.75,2248.5,2275,2428.25,2661.5,3107,3387,4672.25,2128,1631.05,2186.4,2082.75,3902.65,1619.8,3504,2183.5,4243,2973,2086,3699.75
K00052,16696.7,14878.49,13697.99,16970.61,16205.75,9643.16,12560.66,11600.74,13994.67,12940.67,23037.67,14455.41,7723,5856.98,8060.04,8498.41,17725.11,3288.73,11573.49,11882.92,21544.67,14181.08,10192.09,12793.08
K00053,15797.2,14002.16,13322.66,16454.78,15754.25,9362.33,12101.33,11088.41,13529.5,12295.5,22538.5,14377.08,7430.5,5650.98,7800.87,8193.08,17314.78,3344.23,10995.66,11564.92,20668.67,13645.58,9668.92,12641.08
K00054,1432.5,1095.83,685.33,583.83,501.5,329.83,1081.83,1364.33,1031.17,1496.17,642.67,142.83,444,329,385.17,425.83,468.83,129.5,834.33,505,1269,1026,937.17,240
K00055,12,11,4,1,0,0,3,10,11,5,8,0,8,2,13,6,5,0,7,4,21,8,8,1
K00057,16024.7,14208.16,13748.16,17686.28,16950.25,10019.33,12338.83,11366.91,13846,12825.5,23233.5,14681.58,7554,5739.98,7917.87,8526.58,17985.28,3420.23,11234.66,11959.92,21380.17,13995.58,9893.42,13122.58
K00058,19316.4,17240.32,16563.32,13967.64,12141.25,7434.99,17655.99,15978.57,18259.34,17045.84,17563.84,6781.24,10555.5,7746.38,10475.41,8608.74,10356.64,3473.13,16395.82,11375.42,26695.67,19525.08,14192.76,6547.08
K00059,59919.1,53064.81,49324.31,45256.09,38808,23177.99,47073.99,42457.81,56595.83,44861.83,60565.83,23769.99,31494.5,23326.02,31616.61,26184.99,36467.09,8520.02,43758.31,35786.93,73694.18,53036.07,38325.26,22574.32
K00060,635,533.83,475.83,224.5,1026,684.5,451,488.33,422.83,503.33,281.33,148.5,390,302.33,325,279.5,295,429.83,766.33,306.17,802.67,697.33,547.5,189.83
K00064,1705.5,1649.83,3131.33,2390,899,356,2113.5,1546.33,2108.83,1575.33,2544.33,232.5,1458.5,1023.83,1441,1010,1004.5,51.83,2545.33,1838.67,4049.17,3148.83,1836,355.83
K00065,6561,5958.83,2254.33,464.5,154,81.5,2934.5,3006.33,3251.83,3400.33,2168.33,121,2272,1728.83,2290,1627.5,1043.5,51.33,3574.83,1418.17,4448.67,3133.83,2689,162.33
K00066,14,12,12,56,888,586,3,10,15,9,12,99,11,2,16,17,80,223,7,11,24,9,9,122
K00067,7056.4,6086.33,5703.83,7638.48,9063.25,5969.33,7188.33,6878.08,6264.17,7978.17,7203.67,5878.08,3764.5,2890.55,3694.57,3827.58,6491.48,3004.8,6530.33,4607,10730,7569.5,5543.67,5250.75
K00074,3897.7,3304.33,2506.83,2882.03,5532.5,3949.83,3243.33,3428.33,2966.17,3977.17,2426.17,984.83,2006.5,1602.9,1914.87,1741.33,1646.03,1515.9,4031.83,1975.5,5193,3645.5,2756.67,1538.5
K00075,15706.7,13936.16,13519.16,17513.28,16762.25,9876.33,11910.83,10882.91,13428,12291.5,22810.5,14679.58,7258,5500.98,7609.87,8310.58,17823.28,3387.23,10656.66,11688.92,20612.17,13379.58,9512.42,13079.58
K00076,4825.5,4234,1201.5,332.25,106.25,55,1117,1618.25,1923,1961.5,1249,1321.75,1484,1170.25,1531.5,1130.75,1042.75,1062.5,2249.5,882.5,2364.5,1724.5,1534.5,450.75
K00077,4718.9,4357.33,4080.33,2357.15,2492.75,1584,4394.5,3940.58,4217.83,4333.33,4107.83,1863.75,3136.5,2279.88,3060.9,2272.25,2289.15,1607.13,5499.33,3022.17,7606.17,5836.83,4020.5,1459.58
K00082,2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
K00087,3,2,10,125,1395,1013,2,1,7,8,10,176,5,1,4,22,122,338,1,14,11,6,4,277
K00088,14865.7,13169.16,13179.16,17383.28,17467.25,10397.33,11951.83,11015.91,13354,12379.5,22739.5,14728.58,7273,5495.98,7778.87,8416.58,17707.28,3590.23,10788.66,11415.92,20311.17,13208.58,9136.42,13115.58
K00091,297.2,274.5,396.5,534.7,556,363.5,711,629,526.5,733,760,109,338.5,231.9,300.2,358,436.2,97.9,565.5,425,1144,696,475.5,229.5
K00096,10,9,13,4,1,0,23,13,6,8,2,0,3,3,4,5,2,0,18,5,9,12,5,0
K00097,17196.7,15306.16,15660.16,17414.28,16017.25,9540.33,13601.83,12220.91,15323,13421.5,24189.5,14469.58,8623,6452.98,8830.87,8882.58,17873.28,3264.23,13208.66,13011.92,23831.17,16194.58,11239.42,12863.58
K00098,1005,958,168,29,6,1,256,420,538,464,275,30,380,271,502,393,232,12,302,205,518,357,463,22
K00099,14468.7,12930.33,10884.33,9469.95,8628.75,5526.5,10804.5,9599.08,12009.33,10246.33,11928.83,6079.25,6940.5,5182.98,7006.7,5761.25,7682.95,2775.73,10154.33,7449.92,16866.67,12191.58,8735.75,5400.08
K00100,7772,6891.16,6388.66,2933.5,1155.5,664,6174,5261.66,7685.66,5357.66,5700.16,506.5,4581.5,3338.66,4453.5,3048.5,2357.5,257.16,6680.66,4213.34,9463.84,7682.66,5384,622.16
K00101,15772,14035,10016,3333,671,404,9227,8609,12382,8929,8375,604,7953,5868,7874,5177,3286,204,11747,6724,15592,12476,9366,697
K00102,5469,4923.5,2543.5,2884.5,2203,1244.5,2097,2187,2272,2789,2723,370,1840,1437.5,1796,1532,1465,280,3294.5,1862.5,4847.5,2948,2268,609
K00104,12150.7,10757.5,9215.5,12467.95,15483.75,9651.5,8329,7896.75,10163.5,8951.5,18238.5,11999.75,5450.5,4192.15,5873.2,6483.25,14564.45,3238.4,7343.5,8622,14279,9087,6560.5,10231.75
K00105,10,9,3,0,0,1,21,20,13.5,11,6,2.5,10,10.5,14,6.5,10,0.5,14.5,8,15.5,122,14.5,1.5
K00108,23191,20765.66,11793.16,3882,888,469,13670.5,13138.66,16744.16,14176.66,11377.66,750,10253,7774.66,10367,7252.5,4843.5,200.66,14508.66,7498.34,19822.84,14996.16,11722,814.66
K00111,6955.7,6173.66,2989.66,4591.28,5086.75,3175.33,3113.83,3385.41,3436,3996.5,4091.5,4920.08,2450.5,1840.48,2554.87,2485.58,4187.28,1950.23,3857.16,2692.42,5848.17,4062.58,3150.42,3924.58
K00112,2,7,7,15,0,0,10,8,8,5,29,1,3,4,8,11,17,0,19,8,15,12,8,1
K00113,5172,4587,4793,1458,139,91,4105,3318,5762,2912,4166,255,3011,2129,2923,1786,1217,37,3731,2838,6001,4980,3463,318
K00114,187.2,180.5,118,162.45,84.25,30,170.5,145.25,129,184.5,405,1261.25,97.5,37.15,110.2,101.25,441.95,1054.9,134,176,283.5,191,121.5,417.25
K00116,490.7,397.83,145.33,165.28,531.25,552.83,264.33,364.58,288.67,302.17,456.67,1852.08,245,137.15,324.37,271.08,763.28,1179.9,265.33,163.5,451,365,334.67,559.75
K00117,6984,6243,5590.5,1944.5,114,80.5,5049.5,4168,6643,3865.5,5090,349.5,3594,2574,3591,2281.5,1675,206.5,4590.5,3792.5,7777.5,6289.5,4643.5,497
K00118,4,1,0.5,0,0,0,9.5,14,17.5,15,5,0,9,11,9,8.5,6.5,0,8,1,4.5,7.5,7,0
K00121,10421,9330.66,5216.66,3776.5,1652,783.5,4983.5,5158.66,7171.16,5373.16,5445.66,539.5,4157,3134.66,4404.5,3223,2665.5,334.66,5011.66,3461.09,7905.84,5675.91,4476.25,642.66
K00122,2203.7,2041,1609,2141.7,1061.5,446,1547.5,1754,1936,2217,1952.5,304.5,1457,1123.4,1461.7,1301,1444.2,77.9,2206.5,1314,2910.5,1898.5,1341.5,375.5
K00123,10147.6,9182.5,9554,7926.6,14003.5,8647.5,9461.5,8341.5,10952,9104,10013,4955.5,6623.5,4856.2,6471.6,5075,6375.6,5051.7,9815.5,6301,14517.5,10642.5,7207.5,4211
K00124,1821.4,1668.5,1726,2546.65,2950.75,1638.5,1673.5,1663.25,1699,2119.5,2284.5,1769.25,1404,1031.55,1347.4,1203.75,1945.15,1556.8,2342.5,1399,3191.5,2083,1407,1093.25
K00125,2,1,8,55,888,586,0,0,4,4,4,99,3,0,3,11,75,223,0,7,3,1,1,121
K00126,285.7,244.5,228.5,370.2,168.5,76.5,375.5,367,274,379,393.5,103.5,259,141.9,306.7,280,511.2,30.9,228,252.5,635,417.5,281.5,107.5
K00127,1556.9,1369,898,694.4,419,197,1250.5,1317.5,1354,1645,1495.5,2630,1208,872.3,1158.9,897.5,1568.9,2153.3,2016.5,874,2151.5,1591.5,1181.5,892
K00128,46382.5,41205.66,31015.66,17758.66,9599,5385.66,30982.66,28923.66,37192.34,30883.84,28807.34,2945.16,21999.5,16468.5,21645.34,15898.66,12960.16,1657.5,32281.16,19431.75,46781.5,35099.75,26507.09,4035
K00130,15999,14136.83,9927.83,2729.5,285,159.5,9895,8856.33,13433.33,8602.33,9174.33,561,7372,5376.83,7326,4698,3126,106.33,9319.83,6072.17,14014.17,11362.33,8586,602.33
K00131,374.5,260.33,260.33,164.83,165.5,104.83,520.33,480.33,375.17,558.17,533.17,54.33,210.5,171,189.17,158.33,135.33,21.5,376.83,274,792,488.5,364.17,73
K00133,15953.7,14131.49,13512.49,16906.28,16196.25,9645.33,12275.83,11277.24,13736.83,12581.83,22750.83,14470.08,7516,5697.81,7867.87,8367.08,17601.28,3377.06,11214.49,11743.59,20980.34,13987.91,9845.92,12794.41
K00134,22536.2,19763.65,16572.65,19280.86,19302,11841.16,16450.16,16529.65,18933.83,18690.33,26269.83,17070.66,10934.5,8322.89,11216.54,11175.16,20609.36,5012.39,16695.65,14371.26,27414.51,18985.74,13967.59,14361.49
K00135,15984.2,14194.82,10986.82,7574.7,4835.5,3000,10885.5,10160.32,12373.82,10725.32,10449.32,2041.5,7337,5408.22,7385.2,5740.5,5427.7,1144.72,10946.82,7275.18,17289.68,12769.32,9529,2105.82
K00137,140,120,41,7,0,0,38,44,26,40,35,2,37,18,20,21,21,1,93,46,128,86,135,4
K00138,4218.7,3670,2477.5,566.95,107.25,50.5,2531,2314.75,4093.5,2028.5,2925,1416.25,1944.5,1345.65,1982.2,1190.25,1200.95,1074.4,1586.5,1476.25,3019.5,2602.75,2011.25,521.25
K00140,12925.2,11588.83,8646.83,4374.7,1585,756.5,8103,7215.33,9907.83,7335.33,7887.33,646.5,5964,4333.73,6020.2,4210.5,3202.2,351.23,8151.33,5361.17,12598.67,9511.33,7061.5,800.83
K00145,15748.2,13925.16,11112.66,8958.78,7864.25,5109.33,11465.33,10530.41,12637.5,11050.5,11867.5,5794.08,7302.5,5422.98,7277.87,5868.08,7439.78,2641.23,10753.66,7577.92,17435.67,12839.58,9496.92,5085.08
K00146,91,76,233,138,81,67,156,107,82,113,28,8,48,34,38,32,35,7,71,18,85,159,72,50
K00147,14676.2,13017.16,12850.16,16436.78,15150.75,8770.33,11532.33,10475.41,13058,11497.5,22325.5,14235.58,7181.5,5428.98,7571.87,8098.58,17452.28,3030.23,10361.66,11380.92,20025.17,13106.58,9063.92,12460.58
K00150,208,200,331,850,804,412,313,281,228,364,569,266,86,85,110,210,441,149,135,310,610,270,204,362
K00151,704.5,648.5,340,52,8,8.5,329.5,527,703,628.5,283.5,31.5,490,380.5,603,403.5,220.5,5.5,650.5,242,593.5,483,411.5,21
K00153,3,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,12,8,16,11,20,1
K00154,432.5,397.33,370.33,657.5,426,259.5,460.5,315.33,230.83,359.33,350.33,56,130.5,95.83,197.5,219,200,56.83,306.83,289.42,746.17,486.58,328.25,104.33
K00156,3.7,1.83,4.33,17.2,20,7,17.5,5.33,7.83,8.33,10.33,2.5,72.5,6.23,137.2,79,22.7,9.23,20.33,22.67,38.17,138.83,27,4.83
K00161,8643.2,7630.33,5182.83,6758.03,5273.5,2989.83,5353.33,5734.33,5291.17,6670.17,5684.67,932.33,3606.5,2790.9,3793.87,3342.33,3320.03,941.9,6139.83,3767.5,9587,6325.5,4727.17,1388.5
K00162,8324.7,7288.33,4203.83,4977.53,3972.5,2307.33,4600.83,5124.33,4722.17,5903.17,4703.67,727.83,3294,2550.9,3514.37,2990.83,2667.03,806.9,5601.83,3281.5,8533.5,5619,4358.17,1112
K00163,8888,8009.33,10682.83,14407.25,11342.75,6117.5,8852,7346.58,10297.83,8380.33,20159.83,13588.75,5306,3996.58,5598.5,6419.75,15629.25,2002.33,7864.33,9819.92,15713.17,9969.58,6583.25,11485.58
K00164,14379.2,12737.66,9295.16,7726.53,4504,2464.83,8616.83,8438.66,10689,8781,9759.5,3998.83,6333,4649.23,6379.37,5042.83,6133.53,816.73,8936.66,6712.92,14504.17,10699.08,8082.92,3898.83
K00166,474,381.33,334.33,196,75,67,542,570.33,521.83,642.33,299.33,20.5,346,286.83,330,259.5,215,162.83,584.83,245.67,615.17,740.33,569.5,83.83
K00167,474,381.33,334.33,196,75,67,542,570.33,521.83,642.33,299.33,20.5,346,286.83,330,259.5,215,162.83,584.83,245.67,615.17,740.33,569.5,83.83
K00169,287.5,200.5,618,810.75,4010.25,2614.5,915,661.25,544,843.5,1247,1741.75,354,287.75,340.5,366.75,926.75,1955.5,798,539,1533,934.5,520.5,1172.75
K00170,285.5,199.5,610,755.75,3122.25,2028.5,915,661.25,540,839.5,1243,1642.75,351,287.75,337.5,355.75,851.75,1732.5,798,532,1530,933.5,519.5,1051.75
K00171,87.5,64.5,223,347.75,1944.25,1273.5,369,288.25,266,412.5,755,1511.75,144,121.75,134.5,164.75,632.75,1481.5,346,299,800,434.5,219.5,875.75
K00172,285.5,199.5,610,755.75,3122.25,2028.5,915,661.25,540,839.5,1243,1642.75,351,287.75,337.5,355.75,851.75,1732.5,798,532,1530,933.5,519.5,1051.75
K00174,959.5,818.5,1441,3113.75,10214.25,6930.5,1583,1399.25,1142,1813.5,1730,2882.75,602,497.75,634.5,960.75,2303.75,3486.5,1285,1089,2440,1644.5,980.5,2720.75
K00175,1056.5,930.5,2074,4496.75,9642.25,6213.5,1797,1591.25,1317,2094.5,2518,2795.75,718,570.75,746.5,1149.75,2675.75,3180.5,1452,1443,3058,1878.5,1073.5,2598.75
K00176,38.5,27.5,175,886.75,4844.25,3230.5,155,196.25,198,311.5,474,1924.75,49,40.75,42.5,225.75,1126.75,2229.5,146,255,373,223.5,136.5,1328.75
K00177,36.5,26.5,152,750.75,4550.25,2965.5,150,196.25,197,307.5,467,1895.75,66,41.75,106.5,230.75,1063.75,2162.5,145,243,364,221.5,135.5,1313.75
K00179,51,34,144,596,4833,3233,128,182,187,276,201,620,82,45,117,214,656,1208,149,206,334,216,137,957
K00180,51,34,144,596,4833,3233,128,182,187,276,201,620,82,45,117,214,656,1208,149,206,334,216,137,957
K00184,2411.7,1931.83,3627.33,9057.03,13348.5,8120.83,2672.83,3115.33,2870.17,3893.17,12075.67,10005.83,1172,1002.4,1541.37,3214.83,11208.03,1901.9,2083.33,5004,5769,3053,1983.17,9088
K00185,2604.7,2177.83,4199.33,10463.03,14127.5,8408.83,3012.83,3382.33,3120.17,4264.17,12920.67,10165.83,1336,1117.4,1691.37,3461.83,11706.03,1942.9,2350.33,5405,6533,3349,2146.17,9279
K00186,1,0,0,5,223,142,0,0,1,1,1,27,0,0,1,4,20,54,0,1,1,0,1,22
K00187,12,8,9,57,950,658,6,7,7,7,4,104,15,5,8,16,79,241,9,8,8,14,14,123
K00188,10,7,1,2,62,72,6,7,3,3,0,5,12,5,5,5,4,18,9,1,5,13,13,2
K00194,14,9,47,310,1996,1398,50,47,48,73,74,277,13,13,14,55,237,481,51,89,162,80,33,384
K00196,4,2,31,191,1182,851,5,0,5,8,11,128,3,1,4,18,138,291,1,19,12,3,2,136
K00197,20,11,59,327,2019,1435,56,51,49,74,81,293,16,18,21,61,252,489,57,92,170,87,36,498
K00198,28,18,79,523,4355,3101,95,93,99,145,142,625,29,24,29,109,460,1069,101,169,317,159,65,866
K00200,82.2,72.5,211,447.7,66,20.5,361.5,440,344,451,427,120,244.5,150.9,266.2,377.5,792.7,8.9,132.5,257,647.5,448.5,143.5,97.5
K00201,41.7,40.5,115.5,244.2,50.5,19.5,191.5,229,187,242,241.5,76.5,150,76.9,164.7,200,416.2,6.9,70,149.5,344,237.5,74.5,71.5
K00202,41.7,40.5,115.5,244.2,50.5,19.5,191.5,229,187,242,241.5,76.5,150,76.9,164.7,200,416.2,6.9,70,149.5,344,237.5,74.5,71.5
K00208,20814.4,18475.33,14566.83,16749.98,13581.25,7558.83,13127.83,12577.58,15445.17,14295.67,23791.17,14171.08,9029.5,6855.05,9394.57,9289.08,17905.48,2658.3,13374.83,12533.25,23325.5,15308.25,11278.42,12287.25
K00209,483,456.16,200.16,145.33,34,10.33,277.83,321.66,187.5,300.5,157,18.83,139,87.83,121.17,134.33,115.83,4.33,304.16,173.17,523.17,409.83,249.17,31.33
K00210,7088.2,6359,8439,9450.2,8094,4359,6705,5367,8316,5790,16290,8951,4069,3004.4,4314.2,4703,11674.2,751.4,5369,7676,11646,7539,5052,7947
K00214,30,29,10,3,1,0,53,68,27,12,15,1,6,10,12,11,12,2,0,0,1,0,3,0
K00215,15913.7,14105.16,13522.16,17018.28,16165.25,9618.33,12208.83,11271.91,13739,12593.5,22763.5,14434.58,7500,5688.98,7850.87,8384.58,17610.28,3275.23,11150.66,11728.92,20919.17,13805.58,9803.42,12781.58
K00216,68.5,72.5,18.5,9.5,2,0.5,17,19,22,33.5,17,1.5,10.5,10,10,13,9.5,0.5,15,18.5,28.5,23,16,3
K00218,36,38,13,3,4,0,77,98,54,42,42,7,12,13,15,11,15,2,9,42,61,27,87,6
K00219,2254,2069.49,1577.99,2106.83,3792,2448.83,1330.83,1563.99,1751.33,1958.33,1610.33,580.83,1330,1014.66,1285.67,1127.33,1244.83,744.16,2078.99,1188.59,2531.34,1774.91,1269.92,873.16
K00220,11820.2,10504.5,6835.5,2535.7,726,420.5,6099,5651,8421,5592,5964,413,5142,3745.9,5103.2,3349,2273.2,136.4,7012.5,4529.5,10409.5,8063,6218,502
K00226,209.5,195.5,704.5,2896,2552.5,1348.5,496.5,659,576,887,1841.5,2643.5,208,159.5,218.5,794,2776,410.5,400,1056.5,1412,699.5,350.5,2851.5
K00228,14623.7,12899.16,11582.16,13785.28,11328.25,6309.33,10256.83,9569.91,12264,10527.5,20664.5,13675.58,6621,5008.98,6936.87,7280.58,16020.28,2295.23,9637.66,10485.92,18033.17,11827.58,8504.42,11570.58
K00230,142,144,69,13,46,36,92,79,41,62,55,12,30,21,32,33,31,26,38,21,85,45,78,16
K00231,230,214,311,364,224,149,501,402,309,456,514,41,264,167,415,338,197,65,482,298,939,571,319,81
K00232,89,81,81.5,48,4,2,17.5,27,32.5,26,11,0,52,28,108,93.5,29.5,7,46,32,67.5,49.5,36,5
K00239,15897.7,14007.82,11816.82,10291.28,7902.25,4887.33,12324.83,11197.57,13275.66,12120.16,13322.16,6080.58,7621,5686.64,7606.87,6354.58,8187.28,2546.89,11559.32,8363.26,19410.51,13890.24,10015.42,5423.24
K00240,15940.2,14100.66,11679.16,10103.53,7649,4742.83,12035.83,10988.66,13070,11800,12653.5,4769.83,7515,5596.23,7509.37,6243.83,7723.53,1479.73,11257.66,8130.92,18768.17,13537.08,9845.92,4982.83
K00241,15669.2,13812.33,11268.83,9161.53,6526,4055.83,11692.83,10720.33,12824.67,11359.67,11949.17,4474.83,7375,5471.9,7356.37,5990.83,7219.53,1289.4,11034.33,7773.25,17988.5,13169.75,9612.92,4586.5
K00242,12243.7,10883.83,7745.83,5523.7,2941.5,1755,6938,6363.33,9071.83,6494.83,7978.83,3664,5473,3999.23,5541.2,4219,5090.7,578.23,7422.33,5603.92,11952.17,8910.08,6642.75,3395.83
K00243,1714.5,1389.16,635.16,481.58,1305.75,851.33,1225.33,1594.91,1175.5,1617,957,1522.58,576,415.08,540.17,460.58,830.58,1393.33,1031.66,595.42,1520.17,1360.08,1128.42,730.58
K00244,961.5,921.5,1240,1844.5,2820.5,1574.5,1042.5,1075.5,1172,1473.5,1845.5,2853,909,717,863,764,1676,2586.5,1790.5,916,2024.5,1290,827.5,1210.5
K00245,856.5,834.5,1151,1696.5,1911.5,982.5,874.5,973.5,1105,1366.5,1757.5,2751,852,679,807,707,1562,2358.5,1617.5,858,1803.5,1166,737.5,1085.5
K00246,856.5,834.5,1151,1696.5,1911.5,982.5,874.5,973.5,1105,1366.5,1757.5,2751,852,679,807,707,1562,2358.5,1617.5,858,1803.5,1166,737.5,1085.5
K00247,843.5,823.5,1132,1600,881,348.5,850.5,934,1064,1296.5,1240.5,169.5,839,668.5,787,653.5,731.5,44.5,1612.5,804,1769.5,1153,731.5,236
K00248,752.2,650.5,532.5,747.2,2587,1730.5,627,595,512.5,658,465.5,478,321.5,229.4,300.2,347,489.7,614.4,518,411.75,915.5,653.25,447.25,819
K00249,18884.7,16836.83,12289.83,10575.7,6001,3364.5,11995,11257.33,13978.83,12565.83,11655.33,1404,9394.5,6952.23,9515.2,7310.5,6101.7,1389.73,14739.83,9049.92,20955.17,14718.08,11371.25,2142.83
K00252,8014,7095.33,3669.33,4348.33,3400.5,2007.33,3541.83,4131.33,3928.17,4971.67,3861.67,796.83,2662.5,2073.5,2656.67,2464.83,2604.83,594,4346.33,2701,6697.5,4313,3626.67,1135.5
