function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K09981,202.5,169.33,32.83,21.5,1,3,16.5,13.33,11.83,9.83,34.83,3,55,46.83,121,107,80.5,159.33,35.83,25.17,40.17,143.33,30,5.83
K09982,8,7,45,77,122,60,41,30,23,30,59,11,28,17,40,21,40,24,30,33,44,38,17,21
K09983,210,169,77,63,13,8,140,105,87,106,135,17,91,81,88,73,107,153,121,77,251,156,193,20
K09984,17,10,30,20,2,1,23,51,23.5,48,27,4.5,8,11.5,4,7.5,5,0.5,13.5,21,33.5,130,19.5,2.5
K09985,2344.2,2133.5,1136.5,1090.7,683,384.5,1348,1465,1723,1858,1141,121,1407,1108.9,1457.2,1096,760.2,258.4,2305.5,1021.5,2566.5,1806,1450,168
K09986,5800.2,5155.33,1889.33,1348.7,1233,855.5,1952.5,2235.33,2409.83,2673.83,1762.33,279.5,1923,1501.73,1998.7,1549,1137.7,380.73,3075.33,1461.42,3946.17,2733.58,2254.25,419.33
K09987,11752.2,10413.5,6845.5,2547.7,726,420.5,6064,5603,8406,5566,5964,412,5128,3762.9,5107.2,3346,2303.2,287.4,6928.5,4517.5,10299.5,7988,6198,506
K09988,1060,957,253,81,30,17,336,490,620,547,349,40,444,332,478,365,244,13,403,264,582,441,509,26
K09989,2928.2,2744.66,2009.66,2847.7,3249,1853.5,1985.5,1986.66,2147.16,2451.16,2196.66,529.5,1654,1268.06,1660.7,1455,1493.7,710.06,2701.66,1617.09,3765.84,2475.91,1807.25,780.66
K09990,2,1,26,20,2,1,5,5,8,8,9,2,6,8,3,6,3,0,2,9,14,7,2,1
K09991,342.2,319,478,980.2,663,368,460,304,251,381,465,75,283,213.4,332.2,299,318.2,243.4,542,387,987,553,365,120
K09992,418,353.33,174.83,61,120.5,115.5,425,494.83,402.33,429.83,151.83,35.5,244,181.83,241,168.5,122.5,47.83,404.33,146.67,460.67,514.83,404.5,62.33
K10001,1.2,0,0,5.2,223,142,0,0,1,1,1,27,48,0.4,55.2,9,20.2,55.4,0,1,1,0,1,22
K10002,0.2,0,0,0.2,0,0,0,0,0,0,0,0,48,0.4,54.2,5,0.2,1.4,0,0,0,0,0,0
K10003,1.2,0,0,5.2,223,142,0,0,1,1,1,27,48,0.4,55.2,9,20.2,55.4,0,1,1,0,1,22
K10004,229.2,271,723,1550.2,875,340,332,289,251,393,910,156,208,113.4,204.2,255,533.2,43.4,234,442,822,350,156,215
K10005,0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
K10006,0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
K10007,0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
K10008,0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
K10009,142,121,67,27,2,1,43,49,34,48,44,4,43,26,23,27,24,1,95,55,142,93,137,5
K10010,142,121,67,27,2,1,43,49,34,48,44,4,43,26,23,27,24,1,95,55,142,93,137,5
K10011,10,7,1,0,0,0,6,7,3,3,0,0,12,5,5,5,0,0,9,0,5,13,13,0
K10012,155,131,169,258,311,193,158,149,191,235,164,52,95,63,73,141,253,64,166,142,264,219,154,106
K10018,6164,5447,5144,1397,42,32,4426,3581,6128,3123,4400,257,3276,2316,3165,1902,1295,26,4047,3210,6727,5580,4125,301
