"","Domain","Phylum","Class","Order","Family","Genus"
"ARCH209","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH210","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH211","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH212","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH213","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH214","Archaea","Euryarchaeota","Thermoplasmata","uncultured","uncultured_fa","uncultured_ge"
"ARCH215","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH216","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH217","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH218","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH219","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH220","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH221","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH222","Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia_or","Bathyarchaeia_fa","Bathyarchaeia_ge"
"ARCH223","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH224","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH225","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH226","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH227","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH228","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH229","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH230","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH231","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH232","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH233","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH234","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH235","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
