"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT328",0,0,3,12,17,11,1,2,0,0,10,4,0,0,1,1,9,5,0,3,11,0,0,5
"BACT48",1,1,2,42,256,152,1,0,3,2,2,34,0,1,1,7,29,45,0,4,5,0,0,80
"BACT110",9,9,8,1,0,0,27,29,15,18,6,1,17,11,12,14,6,0,52,19,64,46,21,1
"BACT250",0,0,4,12,16,17,1,4,5,4,17,1,2,1,1,2,7,0,5,15,16,2,4,4
"BACT160",8,13,3,2,0,0,41,13,29,22,11,1,6,10,11,13,6,0,4,2,9,6,4,0
"BACT302",0,0,4,17,24,22,2,0,2,5,0,1,1,3,2,4,9,1,2,1,1,0,0,7
"BACT1759",0,0,2,2,23,13,0,0,0,0,5,35,0,0,0,0,11,1,0,1,0,0,0,7
"BACT142",0,2,9,34,20,9,4,3,4,7,14,5,1,1,2,5,24,1,2,18,25,12,4,13
"BACT148",20,21,3,1,0,0,7,54,32,49,14,0,2,1,2,2,2,0,1,3,18,12,20,0
"BACT115",1,0,2,20,82,55,0,1,2,3,14,30,0,0,1,2,14,21,1,16,16,1,2,31
"BACT350",2,3,3,15,2,2,8,8,2,6,5,2,3,0,1,2,3,1,6,2,24,10,12,0
"BACT249",30,29,10,3,1,0,5,13,11,3,2,0,0,0,3,1,1,0,0,0,1,0,3,0
"BACT321",0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,3,0,1,19,26,32,19,6,10
"BACT168",12,11,2,0,0,0,17,28,27,22,23,0,11,11,20,18,16,1,3,10,27,15,32,2
"BACT215",10,9,3,0,0,1,16,17,11,9,3,1,10,9,14,5,10,0,5,1,5,5,4,1
"BACT264",3,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,12,8,16,11,20,1
"BACT141",0,0,1,3,86,120,0,0,0,1,0,4,0,0,0,0,0,19,0,2,0,0,0,9
"BACT242",2,1,4,1,0,0,6,10,7,4,1,0,2,3,2,1,0,0,31,10,39,23,14,0
"BACT233",0,0,5,19,83,37,1,0,1,0,3,5,0,0,0,2,9,13,0,4,0,0,0,10
"BACT2383",26,21,3,0,0,0,5,3,7,0,6,0,6,4,2,3,2,0,13,1,11,11,7,0
"BACT260",0,0,1,4,49,41,0,0,0,0,1,37,0,1,0,0,5,9,0,0,0,0,0,28
"BACT262",8,9,4,2,0,0,5,4,2,6,2,0,0,0,3,2,1,0,2,6,24,14,18,2
"BACT214",57,42,4,0,0,0,3,6,0,3,0,1,1,0,0,1,3,1,1,0,7,12,9,1
"BACT80",33,23,4,0,0,1,13,43,23,32,12,2,4,1,3,2,0,0,7,9,30,21,39,3
"BACT236",1,0,1,0,0,0,8,10,8,19,10,1,0,1,0,1,2,0,3,14,32,12,4,3
"BACT3459",4,9,2,2,0,0,7,9,7,10,4,0,11,8,11,5,2,0,23,8,17,20,8,0
"BACT132",11,8,3,1,0,0,14,11,11,10,8,0,6,1,4,10,4,0,7,8,18,14,16,0
"BACT156",0,0,1,26,92,30,1,0,2,1,5,6,0,0,5,14,17,6,2,0,0,2,0,1
"BACT196",18,22,2,0,0,0,1,16,18,21,13,0,2,0,11,4,2,0,1,2,17,10,16,0
"BACT317",27,19,1,1,0,1,1,7,2,8,5,1,6,3,8,4,4,0,4,3,6,6,11,0
"BACT81",0,0,1,20,102,87,0,2,1,3,15,119,0,0,0,3,24,11,0,5,5,3,0,45
"BACT2802",0,0,3,21,12,4,0,1,1,2,12,8,0,0,3,1,8,0,0,3,3,2,0,3
"BACT411",9,6,2,0,0,0,1,15,11,13,4,2,0,0,0,0,0,0,2,1,7,7,10,0
"BACT285",10,7,1,0,0,0,6,7,3,3,0,0,12,5,5,5,0,0,9,0,5,13,13,0
"BACT172",0,0,1,7,87,83,0,0,0,0,2,7,0,1,0,3,10,15,0,0,0,0,0,2
"BACT1384",0,0,2,34,31,10,0,0,0,0,26,52,0,0,0,1,41,0,0,17,3,1,0,58
"BACT257",1,1,1,6,0,0,3,3,2,8,5,0,0,0,1,1,0,0,11,11,39,16,8,1
"BACT290",0,0,1,6,36,36,0,0,0,0,2,2,0,0,0,1,6,13,1,1,0,0,0,4
"BACT311",8,16,1,0,0,0,13,3,7,9,9,0,13,7,5,5,6,1,3,2,6,2,3,0
"BACT54",0,0,0,28,251,275,1,1,0,2,4,43,2,0,0,4,18,70,1,3,3,5,3,76
"BACT2453",0,0,0,4,5,2,0,0,0,0,41,117,0,0,0,1,44,5,0,4,2,0,0,62
"BACT1684",0,0,0,12,6,6,0,0,0,1,2,8,0,0,0,1,13,0,0,1,0,0,0,17
"BACT2458",0,0,0,3,19,9,0,0,0,0,4,31,0,0,0,0,13,0,0,0,0,0,0,5
"BACT256",7,7,0,1,0,0,14,22,6,11,0,0,2,2,1,3,0,0,5,2,5,5,10,0
"BACT75",0,0,0,19,258,79,0,1,0,1,3,35,0,1,1,5,35,66,0,4,1,0,1,53
"BACT284",0,0,0,4,33,23,0,0,0,0,0,5,0,0,0,0,15,10,0,2,0,0,0,20
"BACT92",0,0,0,20,281,177,0,0,0,0,1,77,0,0,0,6,28,95,0,0,0,1,0,60
"BACT1752",0,1,0,4,33,17,0,0,0,1,3,35,0,0,0,3,18,2,0,0,0,0,0,6
"BACT61",1,0,0,5,223,142,0,0,1,1,1,27,0,0,1,4,20,54,0,1,1,0,1,22
"BACT280",0,0,0,4,40,27,0,0,0,0,0,5,0,0,0,0,6,17,0,0,0,0,0,10
"BACT217",0,0,0,2,62,72,0,0,0,0,0,5,0,0,0,0,4,18,0,1,0,0,0,2
"BACT1644",0,0,0,3,19,14,0,0,1,1,4,44,0,0,0,1,11,1,0,0,0,0,0,9
"BACT174",0,0,0,2,67,101,0,0,0,0,0,10,0,0,0,0,5,14,0,1,0,0,0,17
"BACT304",15,9,0,1,0,0,4,1,2,5,1,0,8,5,12,5,5,3,16,3,3,6,4,0
"BACT1937",0,0,0,3,3,0,0,0,0,2,15,63,0,0,0,0,28,5,0,1,1,0,0,38
"BACT268",0,0,0,2,51,46,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,22
"BACT465",0,0,0,1,9,21,0,0,0,0,0,12,0,0,0,0,3,6,0,0,0,0,0,15
"BACT478",0,0,0,2,3,3,0,0,0,0,13,28,0,0,0,0,0,0,0,1,1,0,0,18
"BACT2714",0,0,0,3,4,2,0,0,0,0,11,56,0,0,0,1,28,7,0,4,1,0,0,23
"BACT56",1,0,0,1,0,0,0,0,0,0,0,0,240,2,271,25,1,7,0,0,0,0,0,0
"BACT228",0,1,0,3,56,33,0,0,0,0,0,6,0,0,0,0,10,18,0,0,1,0,0,14
"BACT184",0,0,0,0,48,101,0,1,0,0,0,9,0,0,0,0,4,14,1,0,0,0,0,15
"BACT315",0,0,0,0,14,16,0,0,0,0,0,4,0,0,0,0,1,2,0,0,1,1,0,98
"BACT241",12,8,0,0,3,1,19,15,8,15,2,0,5,4,3,2,2,0,6,4,2,5,9,1
"BACT508",29,13,0,0,0,3,5,14,7,10,4,0,2,4,3,2,5,1,0,0,0,0,1,0
"BACT475",5,1,0,0,0,0,1,0,2,2,2,0,1,2,2,1,1,0,5,8,14,21,23,0
"BACT291",11,15,0,0,0,0,0,18,10,9,10,0,0,2,1,3,0,0,1,2,5,6,7,0
"BACT167",17,18,0,0,0,0,15,57,33,23,6,1,7,4,12,6,2,2,1,0,1,1,0,0
"BACT145",5,3,0,0,0,0,22,21,16,14,18,0,4,4,0,3,5,0,9,3,12,6,17,1
"BACT379",3,2,0,0,0,0,6,27,25,22,6,0,2,0,1,4,0,2,1,1,4,7,8,0
"BACT491",2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,11,13,11,1
"BACT137",1,2,0,0,0,0,7,5,12,1,1,0,12,17,12,14,10,0,16,2,6,13,13,0
"BACT201",0,4,0,0,0,0,1,1,0,0,2,0,5,7,17,10,14,96,0,0,0,3,1,1
"BACT163",0,0,0,0,0,0,48,55,16,9,13,1,6,10,9,10,11,2,0,0,0,0,0,0
"BACT283",0,0,0,0,0,0,16,7,9,13,14,1,3,8,0,7,4,0,1,1,10,6,0,0
"BACT340",0,0,0,0,0,0,105,23,8,14,7,0,0,0,0,0,0,0,3,0,1,2,0,0
"BACT325",0,0,0,0,0,0,25,16,9,12,6,1,1,3,3,7,12,1,0,0,0,1,0,0
"BACT107",0,0,0,0,0,0,10,6,5,4,6,3,0,3,0,3,0,1,19,14,21,234,21,1
"BACT157",0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
"BACT356",0,0,0,0,0,0,0,0,0,0,0,0,17,2,65,12,0,1,0,0,0,0,0,0
"BACT259",0,0,0,0,0,0,0,0,0,0,0,0,13,22,4,1,26,53,0,0,0,0,0,0
"BACT400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,30,7,27,12
