"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT34",401,316,51,13,2,6,1,2,2,5,1,1,20,22,22,25,11,5,2,3,6,6,17,0
"BACT25",23,17,175,107,2,1,89,73,74,62,66,4,75,61,75,49,24,0,151,56,158,132,52,7
"BACT287",14,10,12,7,0,0,4,9,4,7,4,0,7,3,3,4,1,0,10,0,8,12,7,1
"BACT661",0,0,17,92,58,23,0,0,2,2,90,147,0,0,1,5,87,1,0,23,11,0,0,169
"BACT111",5,3,22,23,24,7,16,6,9,24,44,1,8,5,8,11,7,3,8,14,48,26,6,6
"BACT109",3,0,21,13,3,0,39,15,12,24,16,0,9,4,11,10,9,0,38,15,73,45,17,2
"BACT134",1,1,11,2,0,0,15,18,11,54,3,2,5,5,6,2,2,0,25,6,36,29,16,2
"BACT139",0,4,22,23,4,3,17,13,10,10,3,0,2,5,3,17,7,0,29,4,15,35,12,5
"BACT53",39,22,53,34,0,0,64,54,42,100,47,0,25,34,39,31,18,1,61,34,70,63,37,4
"BACT112",7,12,18,1,0,0,21,23,23,20,22,1,13,14,13,3,11,0,32,16,60,34,23,2
"BACT52",63,45,17,3,0,0,40,33,29,41,47,1,26,12,22,15,8,2,39,14,65,32,26,1
"BACT1253",0,0,4,37,31,11,0,0,1,1,37,52,0,0,0,5,26,1,0,9,3,0,0,58
"BACT60",3,2,28,67,4,3,23,28,20,28,64,11,3,4,5,23,28,2,18,56,65,33,14,27
"BACT44",34,34,24,9,3,0,90,70,71,88,19,6,34,25,29,17,7,0,48,8,33,51,33,7
"BACT2047",0,0,10,70,40,9,2,1,1,2,46,77,0,0,0,2,36,1,0,10,11,1,0,85
"BACT40",12,10,53,134,84,52,30,27,14,45,43,12,9,12,17,22,33,15,41,44,112,48,12,8
"BACT3229",0,0,5,13,3,0,0,0,2,2,15,3,0,0,0,4,17,0,0,10,3,1,0,3
"BACT189",1,3,14,27,7,6,11,8,2,12,6,1,3,7,0,8,1,0,10,10,30,19,9,0
"BACT397",12,21,11,3,0,0,9,3,9,6,8,0,17,12,7,5,6,1,4,12,5,13,13,0
"BACT14",81,59,55,14,0,0,32,36,47,14,23,2,38,26,23,5,15,0,29,25,36,32,38,2
"BACT1131",0,0,2,23,29,6,0,0,1,1,29,42,0,0,0,4,31,0,0,13,3,0,0,42
"BACT30",2,7,40,148,213,121,18,17,15,45,152,79,3,5,4,29,69,23,8,78,123,35,6,112
"BACT76",5,8,22,18,2,3,37,36,39,44,22,5,8,8,13,9,9,1,11,25,45,22,19,8
"BACT128",53,54,12,16,4,0,12,13,14,27,17,1,8,8,9,14,14,1,6,19,27,21,13,3
"BACT29",3,5,73,336,173,68,29,9,13,35,78,35,5,9,9,58,153,35,20,34,57,26,12,41
"BACT155",53,30,34,5,0,0,9,16,41,11,23,0,11,6,14,16,9,0,5,13,30,25,15,2
"BACT636",120,109,18,1,0,0,7,18,18,13,14,2,23,13,20,12,7,1,16,6,30,30,19,2
"BACT129",4,5,14,36,7,2,10,16,5,17,8,0,6,4,6,12,7,1,13,9,37,19,9,6
"BACT301",2,4,15,19,0,0,1,6,3,1,9,0,19,9,16,11,12,1,5,1,4,1,6,0
"BACT244",17,20,1,0,0,0,19,14,8,14,9,4,3,4,3,4,5,0,6,3,12,3,5,1
"BACT131",16,8,13,9,0,0,42,18,8,16,8,0,2,2,6,6,0,0,12,4,30,20,21,1
"BACT140",10,9,20,6,0,5,40,40,21,42,54,0,13,15,16,9,8,1,28,29,88,44,16,9
"BACT318",4,0,3,1,0,0,12,16,12,24,6,0,3,6,2,1,1,0,2,1,2,2,4,0
