ASV,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
Zotu1445,1,1,38,113,102,51,4,7,5,6,122,71,2,2,8,22,128,11,5,53,49,15,4,98
Zotu188,42,41,58,10,2,0,10,26,9,19,6,0,18,8,14,17,7,0,15,2,10,6,5,1
Zotu62,26,16,56,12,0,0,19,22,31,49,12,3,11,8,7,6,7,0,33,10,45,46,54,9
Zotu2,3471,3049,2175,437,12,14,2255,1996,3770,1697,2416,155,1663,1195,1649,952,677,15,1386,1302,2573,2187,1703,124
Zotu4,1355,1269,2133,716,22,15,1589,1117,1694,1037,1438,65,1129,762,1067,668,392,6,2075,1274,2955,2427,1518,127
Zotu9,85,98,649,1545,873,340,291,248,223,364,875,153,131,88,123,235,508,40,222,424,772,321,117,211
Zotu7,12,13,396,2102,1445,638,76,63,94,188,1304,2217,10,12,42,343,1780,132,37,638,550,98,19,2397
Zotu13,108,84,470,62,8,14,198,222,282,329,98,0,302,225,253,169,58,0,719,170,455,407,216,14
Zotu154,5,2,29,42,5,5,26,7,14,9,19,0,2,5,8,15,9,0,32,12,59,35,14,2
Zotu511,4,4,4,4,0,0,7,4,2,7,0,0,2,0,1,0,0,0,5,3,15,6,8,0
Zotu143,55,35,20,0,0,0,10,5,19,5,8,1,7,4,15,5,2,0,14,17,21,34,28,0
Zotu4426,1,1,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu1385,5,4,3,0,0,0,1,1,1,0,2,0,1,1,1,0,0,0,1,1,2,2,0,0
Zotu5,2993,2599,500,54,0,4,219,445,444,486,354,28,377,289,420,306,222,2,513,250,877,515,558,31
Zotu1,47,64,2017,6921,7295,3986,527,480,797,1147,9626,7438,118,197,454,2161,8919,523,224,3618,2857,693,150,6575
Zotu644,22,18,3,0,0,0,1,4,6,11,7,0,3,5,2,3,0,0,9,7,12,9,15,1
Zotu71,45,40,5,1,0,0,17,50,42,40,19,2,11,6,7,3,6,0,6,13,16,14,22,6
Zotu3674,0,0,2,2,0,0,0,0,0,0,3,2,0,0,0,1,2,0,0,2,0,0,0,1
Zotu3,0,2,49,168,218,132,13,33,40,44,427,389,6,12,13,49,336,11,5,116,95,23,4,280
Zotu1011,4,3,3,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0
Zotu98,3,6,28,62,20,6,23,10,6,14,15,2,9,8,6,18,20,2,45,14,39,15,6,1
Zotu31,224,238,32,3,2,0,46,47,48,48,48,0,45,27,42,34,26,1,40,33,120,60,77,6
Zotu15,502,436,186,44,4,1,207,141,215,130,164,7,147,114,124,83,55,0,201,247,524,359,390,14
Zotu192,0,0,16,115,3,0,0,0,0,0,4,0,0,0,1,7,11,0,0,14,2,1,0,2
Zotu47,12,12,55,86,3,2,69,41,33,61,24,1,21,17,24,21,17,1,62,23,70,60,21,2
Zotu592,2,2,24,9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0
Zotu6,2,2,16,79,280,92,16,45,52,114,979,4846,0,3,6,74,1447,4177,0,88,50,14,2,1393
Zotu243,7,0,1,0,0,0,12,23,23,29,9,0,6,5,6,3,3,0,0,0,3,2,1,0
Zotu2215,1,1,10,2,0,0,1,0,2,1,8,0,0,0,2,6,6,0,1,4,11,2,1,0
Zotu90,18,13,18,70,17,5,15,10,11,15,12,1,14,4,19,29,26,2,18,25,53,21,15,2
Zotu176,70,68,44,14,2,1,8,7,10,7,1,0,8,10,7,7,1,0,4,7,5,13,18,1
Zotu889,9,7,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
